acquisition  n. 获得.添加的物品
suspicious  a.可疑的;猜疑的 
swamp  n.沼泽.沼泽地 
symmetry  n.对称(性).匀称 
symphony  n.交响乐;交响乐团 
symposium  n.酒会;座谈会 
symptom  n.症状.征候.征兆 
synthesis  n.合成;综合.综合物 
tablet  n.碑.匾;药片 
tackle  vt.解决.对付 n.用具 
tactics  n.策略;战术.兵法 
tangle  vt.使缠结.使纠缠 
tar  n.柏油.焦油 
tariff  n. 关税.价格表.收费表 vt. 课以关税 
tease  vt.逗乐.戏弄;强求 
temperament  n. 气质.性质.性情 
tempo  n. 拍子.速率.节奏 
tenant  n.承租人.房客.佃户 
tentative  n. 试验.假设 a. 试验性质的.暂时的 
terminate  vt.&vi.停止.终止 
terrace  n.平台.阳台.露台 
terrain  n. 地带.地域.范围.领域 
terrific  a.可怕的;极大的 
terrify  vt.使恐怖.使惊吓 
testify  v.证明.证实.作证 
testimony  n. 证言.证据.声明 
texture  n. 质地.纹理 
Thanksgiving  n.感恩节 
theft  n.盗窃.偷窃(行为) 
theme  n.题目;词干;主旋律 
therapy  n. 治疗 
thereafter  ad.此后.以后 
thermal  a.热的;温泉的 
thesis  n.论题.论点;论文 
thirst  n.渴.口渴;渴望 
thorn  n.刺.棘;荆棘;蒺藜 
threshold  n.门槛;入门.开端 
thrill  vt.&vi.(使)激动 
tick  n.滴答声;记号 
tile  n.瓦片.瓷砖;贴砖 
tilt  vt.&vi.(使)倾斜 
timber  n.木材.木料 
timely  a.及时的;适时的 
timid  a.胆怯的;羞怯的 
token  n.象征;辅币;纪念品 
tolerant  a.容忍的;有耐力的 
toss  vi.翻来复去 
tow  vt.&n.拖引.牵引 
tract  n.传单.小册子.大片（土地或森林） 
tragic  a.悲剧性的.悲惨的 
trait  n. 显著特点.特性 
transaction  n.处理;交易;和解 
transcend  vt. 超越.胜过 
transient  a. 短暂的.转瞬即逝的.临时的.暂住的 
transit  n.运输 a.中转的.过境的 
transition  n.转变.变迁;过渡 
transplant  vt.&vi.移植.移种 
traverse  vt.横越.横切.横断 
trench  n.深沟;壕沟.战壕 
tribe  n.部落.宗族 
tribute  n.贡物;献礼.贡献 
trifle  n.小事.琐事;少许 
trigger  n.扳机 vt.触发.引起 
triple  a. 三倍的.三方的 vt. 使增至三倍 
trivial  a.琐碎的;平常的 
tuck  vt.折短.卷起;塞 
tug  vi.用力拖 n.猛拉.拖 
tuition  n.教.教诲;学费 
tumble  vi.摔倒.跌倒;打滚 
turbulent  a.骚动的.骚乱的 
turnover  n. 人员调整.营业额.成交量 
tutor  vt.教.指导 
ultraviolet  a.紫外的n.紫外线辐射 
unanimous  a.(全体)一致的 
underestimate  vt.低估.看轻 
underlying  a. 在下面的.含蓄的.潜在的 
undermine  vt. 渐渐破坏.暗中破坏.侵蚀基础 
unemployment  n.失业;失业人数 
unfold  vt.展开 vi.呈现 
unify  vt. 统一.使成一体 
update  vt. 更新.使现代化 
upgrade  vt. 使升级.提升 
uphold  vt.举起;支撑;赞成 
validity  n.有效.效力;正确 
valve  n.阀.阀门;电子管 
vegetation  n. 植物.草木 
veil  n.面纱.面罩;遮蔽物 
vein  n.静脉.血管.矿脉 
vent  n. 排放口.通风口 vt. 发泄.表达 
ventilate  vt.使通风.使换气 
verbal  a. 言辞的.文字的.口头的..动词的 
verdict  n. 裁决.结论.定论.判断 
verge  n.边缘.边界.界限 
versatile  a.多方面的;通用的 
verse  n.诗.韵文;诗行 
versus  prep.(比赛等中)对 
veto  n.否决.否决权.禁止 
vicinity  n.邻近;附近地区 
vicious  a.邪恶的;恶性的 
violate  vt.违犯.违背;侵犯 
virgin  n.处女 a.处女的 
virtual  a.实际上的.实质上的 
virus  n. 病毒 
visualize  vt. 使看得见.使具体化.想象.设想 
vocal  a. 直言不讳的.嗓音的.有声的 
vocational  a. 职业的 
void  a.空的;无效的 
volunteer  n.志愿者 vt.志愿 
vulgar  a.粗俗的.庸俗的 
vulnerable  a. 易受伤害的.脆弱的.易受攻击的 
wallet  n.钱包.皮夹子 
ward  n.病房.病室;监房 
warehouse  n.仓库.货栈 
warfare  n.战争.战争状态 
warrant  n. 正当理由. 委任状.许可证 
watertight  a.不漏水的.防水的 
watt  n.瓦(特) 
weary  a.疲倦的vt.使疲乏 
web  n.网.丝.网状物 
wedge  n.楔vt.楔入;挤入 
whereas  conj.而.却.反之 
whereby  ad.靠什么;靠那个 
whirl  vt.使回旋vi.&n.回旋 
withhold  vt. 拒绝.不给.使停止.阻挡 
wrench  vt.拧.扭伤n.拧 
wretched  a.不幸的;卑鄙的 
wrinkle  n.皱纹 vt.使起皱纹 
yacht  n.游艇.快艇 
yell  vi.叫喊 
yoke  n.轭.牛轭;枷锁 
youngster  n.儿童.少年.年轻人 
zinc  n.锌 
